Rank,Name,City,State,Employees,Growth (%),Accelerator/Investor,Website,LinkedIn
613,Belly,Chicago,IL,49,2.08,,bellycard.com,http://www.linkedin.com/company/belly
614,Nuxeo Platform,Brooklyn,NY,151,2.03,Kennet/Goldman,nuxeo.com,http://www.linkedin.com/company/nuxeo
615,Perfecto,Burlington,MA,262,1.95,TCV/Globespan,perfectomobile.com,http://www.linkedin.com/company/perfecto-mobile
616,Arena Solutions,Foster City,CA,155,1.97,,arenasolutions.com,http://www.linkedin.com/company/arena-solutions
617,Apigee,San Jose,CA,102,2.00,,apigee.com,http://www.linkedin.com/company/apigee
618,Evergage,Somerville,MA,101,2.02,Arrowroot/G20,evergage.com,http://www.linkedin.com/company/evergage
619,Wyng,New York,NY,50,2.04,,wyng.com,https://www.linkedin.com/company/wyng
620,OnSolve,Ormond Beach,FL,155,1.97,,OnSolve.com,https://www.linkedin.com/company/onsolve
621,SumoMe,Austin,TX,51,2.00,,sumo.com,https://www.linkedin.com/company/sumo-group-sumo.com-appsumo.com-/
622,Kahuna,Mountain View,CA,51,2.00,,kahuna.com,http://www.linkedin.com/company/kahuna-inc
623,dotloop,Cincinnati,OH,160,1.91,,dotloop.com,http://www.linkedin.com/company/dotloop
624,ClearCare,San Francisco,CA,104,1.96,,clearcareonline.com,http://www.linkedin.com/company/clearcare/
625,Buffer,,,105,1.94,,buffer.com,https://www.linkedin.com/company/bufferapp/
626,Technolutions Slate,New Haven,CT,52,1.96,,technolutions.com,http://www.linkedin.com/company/technolutions
627,Fuze Collaboration,Boston,MA,663,1.69,TCV/Summit,fuze.com,https://www.linkedin.com/company/fuze-inc
